id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
178860,Female,37,1,45,0,1-2 Year,Yes,2630,122,69,1
192835,Male,21,1,37,0,< 1 Year,Yes,33502,160,124,0
189817,Male,42,1,8,0,1-2 Year,Yes,26863,124,231,1
16370,Male,45,1,39,0,> 2 Years,Yes,31104,25,177,0
243769,Male,74,1,28,0,> 2 Years,Yes,55358,124,154,1
174495,Male,64,1,28,0,1-2 Year,Yes,66683,122,236,1
199409,Female,31,1,8,0,< 1 Year,Yes,28796,152,76,0
368713,Male,55,1,28,0,1-2 Year,Yes,30844,125,151,1
159726,Female,36,1,35,0,1-2 Year,Yes,26729,124,123,1
230649,Male,26,1,17,1,< 1 Year,No,29431,152,216,0
355489,Female,34,1,46,0,1-2 Year,Yes,27277,152,248,1
297345,Male,33,1,8,0,1-2 Year,Yes,47769,124,230,1
354308,Female,60,1,24,0,1-2 Year,Yes,2630,124,286,1
354137,Male,58,1,46,0,1-2 Year,Yes,28245,152,45,1
32181,Female,79,1,48,0,1-2 Year,Yes,2630,26,111,0
89274,Female,31,1,10,0,1-2 Year,Yes,2630,156,108,1
88061,Female,43,1,28,0,1-2 Year,Yes,50378,26,136,1
83949,Male,49,1,28,0,1-2 Year,Yes,43512,124,84,1
310575,Male,34,1,28,0,1-2 Year,Yes,31270,163,133,1
218545,Male,46,1,28,0,> 2 Years,Yes,53214,26,290,1
34460,Male,24,1,33,1,< 1 Year,No,30474,152,291,0
13878,Male,25,1,33,1,< 1 Year,No,24311,152,139,0
221740,Female,29,1,32,0,< 1 Year,Yes,13818,124,48,1
210582,Male,24,1,28,0,< 1 Year,Yes,90123,26,292,0
378971,Male,55,1,28,0,1-2 Year,Yes,39376,26,35,1
97345,Female,70,1,28,1,1-2 Year,Yes,43438,26,222,0
196144,Male,42,1,28,0,1-2 Year,Yes,2630,124,230,1
58784,Female,58,1,28,0,1-2 Year,Yes,43987,26,171,1
106985,Male,37,1,46,0,1-2 Year,Yes,32113,124,141,1
13824,Male,50,1,29,0,1-2 Year,Yes,30519,26,66,1
130565,Female,23,1,21,1,< 1 Year,No,24548,152,160,0
310620,Female,38,1,30,0,1-2 Year,Yes,2630,124,32,0
374240,Male,68,1,29,0,1-2 Year,Yes,39754,122,79,1
244573,Female,66,1,28,0,1-2 Year,Yes,51964,26,100,1
133952,Male,53,1,50,0,1-2 Year,Yes,37500,60,200,1
232618,Male,28,1,28,0,1-2 Year,Yes,38614,124,176,0
155301,Male,33,1,36,1,< 1 Year,No,38390,152,259,0
28780,Female,29,1,33,1,< 1 Year,No,32974,152,227,0
37666,Female,47,1,8,0,1-2 Year,Yes,43357,124,278,1
111444,Female,27,1,8,1,< 1 Year,No,59246,152,262,0
331490,Female,36,1,28,0,1-2 Year,Yes,2630,124,145,1
149509,Female,21,1,32,0,< 1 Year,No,24994,152,133,1
365045,Male,64,1,28,0,1-2 Year,Yes,35469,26,200,1
80730,Female,27,1,7,0,< 1 Year,No,35994,152,115,0
236294,Male,43,1,19,1,1-2 Year,No,41031,124,45,0
238786,Male,31,1,28,0,< 1 Year,Yes,47920,124,218,0
346632,Male,61,1,18,1,1-2 Year,Yes,2630,157,125,0
50573,Male,42,1,28,0,1-2 Year,Yes,46211,124,214,1
77448,Female,42,1,41,0,1-2 Year,No,2630,124,18,0
137169,Female,23,1,28,0,< 1 Year,Yes,50755,124,160,1
332968,Male,49,1,28,0,1-2 Year,Yes,37922,124,207,1
158037,Female,64,1,28,0,1-2 Year,Yes,39327,122,45,0
377523,Male,24,1,21,1,< 1 Year,No,30595,152,108,0
80497,Female,23,1,29,1,< 1 Year,No,29418,152,117,0
184094,Female,54,1,28,0,1-2 Year,Yes,63365,26,268,1
179998,Male,45,1,24,0,1-2 Year,Yes,28690,150,15,0
329621,Male,46,1,28,0,> 2 Years,Yes,85447,154,257,0
313490,Male,42,1,28,0,1-2 Year,Yes,29382,26,252,1
38476,Male,57,1,28,0,1-2 Year,Yes,32883,124,223,1
341123,Female,47,1,28,0,1-2 Year,Yes,28900,26,147,0
366701,Female,61,1,8,0,> 2 Years,Yes,49243,7,235,0
221659,Male,59,1,48,0,1-2 Year,Yes,2630,15,260,1
200490,Male,71,1,28,1,1-2 Year,No,36922,122,229,0
311352,Male,44,1,6,0,1-2 Year,No,31721,124,83,1
130388,Female,28,1,37,0,< 1 Year,Yes,29219,152,116,0
78537,Male,43,1,48,0,1-2 Year,Yes,2630,124,241,0
233975,Male,59,1,12,1,1-2 Year,No,27299,26,138,0
125290,Male,24,1,36,1,< 1 Year,No,37663,152,59,0
123036,Male,41,1,28,0,1-2 Year,Yes,27439,157,21,1
289716,Male,30,1,50,0,1-2 Year,Yes,33625,154,167,0
238136,Male,50,1,48,0,1-2 Year,Yes,2630,124,42,1
198270,Female,57,1,28,0,1-2 Year,Yes,45316,55,180,1
29997,Male,23,1,36,0,< 1 Year,Yes,27370,152,210,1
306974,Male,35,1,41,0,1-2 Year,Yes,28188,26,170,1
310555,Male,46,1,28,0,1-2 Year,Yes,44013,26,247,1
322876,Male,56,1,46,0,1-2 Year,Yes,31367,26,27,1
50223,Female,40,1,3,0,1-2 Year,Yes,27930,26,154,1
120829,Male,47,1,28,0,1-2 Year,Yes,57968,124,131,0
19657,Male,41,1,24,0,1-2 Year,Yes,2630,124,64,0
350410,Male,50,1,12,0,1-2 Year,Yes,2630,124,164,1
290732,Female,69,0,35,1,1-2 Year,No,28731,26,143,0
28992,Male,29,1,46,0,< 1 Year,Yes,32705,124,168,0
318850,Female,33,1,37,1,1-2 Year,No,35357,128,134,0
260666,Male,24,1,14,1,< 1 Year,No,16288,152,236,0
229564,Female,52,1,15,0,1-2 Year,Yes,30122,14,27,1
373002,Female,47,1,7,0,1-2 Year,Yes,49302,157,20,1
243504,Male,47,1,29,1,1-2 Year,No,2630,135,105,0
250407,Male,27,1,11,1,< 1 Year,No,52803,152,146,0
202936,Female,24,1,3,0,< 1 Year,Yes,2630,152,228,0
338758,Male,50,1,46,0,1-2 Year,Yes,28342,124,12,1
328895,Male,42,1,28,0,1-2 Year,Yes,39634,26,112,1
88612,Male,43,1,28,0,1-2 Year,Yes,42479,124,14,1
136638,Male,23,1,33,1,< 1 Year,No,34818,152,297,0
68010,Male,39,1,36,0,1-2 Year,Yes,2630,157,35,1
256019,Male,62,1,28,0,1-2 Year,Yes,38748,26,242,1
20905,Male,48,1,18,0,1-2 Year,Yes,37807,26,175,0
282379,Female,28,1,23,1,< 1 Year,No,18733,151,177,0
336197,Female,40,1,28,0,1-2 Year,Yes,2630,122,259,1
293708,Female,47,1,46,0,1-2 Year,Yes,28186,124,120,0
66319,Male,60,1,46,0,1-2 Year,Yes,26097,11,225,0
191134,Male,59,1,48,0,1-2 Year,Yes,2630,124,96,1
337712,Male,65,1,41,0,> 2 Years,Yes,47508,124,110,0
351379,Male,38,1,21,0,> 2 Years,Yes,35694,26,32,1
88671,Male,46,1,8,0,1-2 Year,Yes,33894,26,166,1
241216,Male,36,1,8,0,1-2 Year,Yes,2630,124,100,1
132251,Female,31,1,11,1,1-2 Year,No,2630,124,230,0
197896,Female,65,1,0,0,> 2 Years,Yes,2630,26,151,0
17826,Female,35,1,8,1,1-2 Year,No,34327,4,109,0
145724,Female,40,1,47,1,1-2 Year,No,22684,29,63,0
95103,Male,60,1,8,0,1-2 Year,Yes,93902,26,130,1
251644,Female,38,1,15,0,1-2 Year,Yes,28284,154,271,1
149396,Male,42,1,46,0,1-2 Year,Yes,30027,124,284,0
80432,Male,55,1,39,0,1-2 Year,Yes,2630,26,203,1
292670,Male,34,1,14,0,1-2 Year,Yes,18653,26,151,1
206025,Male,56,1,10,0,1-2 Year,No,33893,26,216,0
187347,Female,50,1,28,0,1-2 Year,Yes,41678,26,269,1
8112,Male,41,1,29,0,1-2 Year,Yes,38725,124,270,1
130872,Male,70,1,41,0,> 2 Years,Yes,42920,154,245,1
121855,Female,24,1,28,1,< 1 Year,No,30704,152,150,0
136484,Male,52,1,28,0,> 2 Years,Yes,53935,26,240,1
326133,Male,20,1,46,0,< 1 Year,Yes,19105,160,214,0
312528,Female,25,1,8,1,< 1 Year,No,31243,160,277,0
356122,Male,56,1,28,0,1-2 Year,No,47691,26,269,1
248277,Female,58,1,28,0,1-2 Year,Yes,33391,122,118,1
322864,Female,40,1,28,0,1-2 Year,Yes,2630,26,92,1
195983,Female,31,1,17,0,1-2 Year,Yes,33100,124,193,1
120232,Male,51,1,46,0,1-2 Year,Yes,37432,26,85,1
295904,Male,25,1,16,0,< 1 Year,Yes,24391,152,129,0
100828,Male,53,1,36,0,1-2 Year,No,54203,26,76,0
90580,Male,38,1,28,1,1-2 Year,No,31242,125,287,0
112144,Male,24,1,47,1,< 1 Year,No,29291,152,226,0
187998,Male,20,1,28,0,< 1 Year,Yes,55490,160,261,0
243676,Male,62,1,8,0,> 2 Years,Yes,38492,26,149,1
207353,Female,72,1,30,0,1-2 Year,Yes,30940,26,82,0
171748,Male,41,1,46,0,1-2 Year,Yes,21521,124,163,1
144423,Female,30,1,28,0,< 1 Year,Yes,2630,156,129,0
207484,Male,37,1,28,0,1-2 Year,Yes,2630,31,152,1
185136,Male,51,1,28,0,1-2 Year,Yes,31327,26,23,1
148922,Male,53,1,9,0,1-2 Year,Yes,41587,124,179,0
267470,Female,44,1,28,0,1-2 Year,Yes,32157,26,227,1
13369,Female,70,1,28,0,1-2 Year,Yes,38649,26,30,1
199895,Male,45,1,15,0,1-2 Year,Yes,34275,124,64,1
305124,Female,51,1,11,0,1-2 Year,Yes,17491,120,132,1
338967,Female,48,1,28,0,1-2 Year,Yes,38996,124,75,1
340567,Female,23,1,38,1,< 1 Year,No,41079,152,205,0
87217,Male,34,1,15,0,1-2 Year,Yes,2630,156,263,1
185312,Female,59,1,28,1,1-2 Year,No,37862,26,64,0
162768,Female,48,1,28,0,1-2 Year,Yes,49161,26,176,1
286200,Female,38,1,28,0,1-2 Year,Yes,23189,124,75,1
26186,Male,56,1,28,0,1-2 Year,Yes,24754,26,132,1
104076,Male,43,1,3,0,> 2 Years,Yes,2630,124,212,1
31592,Male,64,1,45,0,1-2 Year,Yes,35708,124,220,1
238887,Female,49,1,28,0,1-2 Year,Yes,32351,150,119,1
201364,Female,37,1,11,0,1-2 Year,Yes,2630,160,183,1
368462,Female,67,1,50,0,1-2 Year,Yes,39456,124,36,1
292432,Female,29,1,8,1,< 1 Year,No,48059,152,290,0
24263,Male,24,1,9,0,< 1 Year,Yes,33906,152,77,0
322433,Male,21,1,8,0,< 1 Year,No,53680,160,200,0
175466,Male,21,1,48,0,< 1 Year,Yes,2630,160,145,1
186216,Male,35,1,18,0,1-2 Year,Yes,2630,152,256,1
332631,Female,51,1,46,0,1-2 Year,Yes,2630,124,287,1
242723,Male,52,1,28,0,1-2 Year,Yes,40403,124,213,0
257260,Male,46,1,35,0,1-2 Year,Yes,31393,26,272,1
342553,Female,65,1,28,0,1-2 Year,Yes,58870,124,131,0
168978,Female,36,1,36,0,1-2 Year,Yes,31355,157,262,0
170533,Male,64,1,28,0,> 2 Years,Yes,46259,26,187,0
150449,Female,28,1,41,1,< 1 Year,No,27844,152,206,0
181186,Male,23,1,29,1,< 1 Year,No,25260,152,11,0
44292,Female,45,1,8,0,1-2 Year,Yes,2630,124,33,0
263027,Male,46,1,39,0,1-2 Year,Yes,2630,157,220,1
343706,Male,52,1,41,1,1-2 Year,No,26536,124,161,0
311202,Female,39,1,28,0,1-2 Year,Yes,52259,24,179,0
200160,Female,26,1,15,1,< 1 Year,No,34706,152,232,0
246706,Male,27,1,11,1,< 1 Year,No,23992,152,47,0
80623,Female,37,1,18,0,1-2 Year,Yes,30128,150,60,1
314646,Male,48,1,28,0,1-2 Year,Yes,38551,25,219,1
118652,Female,41,1,7,0,1-2 Year,Yes,31830,26,82,1
29963,Male,22,1,46,1,< 1 Year,No,31322,152,73,0
300321,Male,42,1,28,0,1-2 Year,Yes,29833,124,18,1
235727,Male,22,1,41,1,< 1 Year,No,24560,160,53,0
97611,Female,40,1,41,0,1-2 Year,Yes,39709,12,138,1
310540,Male,58,1,14,0,> 2 Years,Yes,2630,156,39,1
328612,Female,34,1,8,0,1-2 Year,Yes,51242,152,95,0
110941,Male,27,1,8,1,< 1 Year,No,24417,152,52,0
288065,Male,34,1,41,0,1-2 Year,Yes,28978,154,110,1
370597,Female,23,1,11,0,< 1 Year,Yes,25346,152,233,0
256556,Female,25,1,18,0,< 1 Year,Yes,32391,152,202,0
334189,Male,49,1,41,1,1-2 Year,No,32307,109,142,0
209846,Female,23,1,8,0,< 1 Year,Yes,2630,160,135,0
379207,Male,28,1,30,1,< 1 Year,No,25565,152,64,0
50756,Female,50,1,28,0,1-2 Year,Yes,28049,26,199,1
86865,Male,32,1,33,0,< 1 Year,Yes,61507,124,81,0
234994,Male,49,1,8,0,1-2 Year,Yes,45055,124,77,1
80231,Male,54,1,46,0,1-2 Year,Yes,2630,124,255,1
311699,Female,41,1,9,0,1-2 Year,Yes,29960,124,94,1
373609,Female,37,1,28,0,1-2 Year,Yes,32154,124,85,1
346361,Male,61,1,0,0,1-2 Year,Yes,2630,122,114,0
364542,Female,24,1,41,0,< 1 Year,No,38483,152,293,1
137903,Female,21,1,7,0,< 1 Year,No,28416,152,92,0
146329,Female,39,1,38,0,1-2 Year,Yes,29410,26,84,1
359856,Male,31,1,28,0,1-2 Year,Yes,63625,60,37,0
22299,Female,71,1,32,1,1-2 Year,No,2630,26,288,0
204055,Male,33,1,28,0,1-2 Year,Yes,31584,124,151,1
114976,Male,53,1,28,0,1-2 Year,Yes,47723,26,33,1
266748,Female,83,1,28,1,1-2 Year,No,44113,124,258,0
364762,Male,72,1,41,1,1-2 Year,No,24312,124,36,0
76673,Male,44,1,3,1,1-2 Year,No,27904,124,36,0
110343,Female,32,1,28,1,< 1 Year,No,40606,152,148,0
126194,Female,27,1,8,1,< 1 Year,No,38439,160,209,0
311249,Male,29,1,18,0,< 1 Year,Yes,29307,152,91,0
372458,Male,40,1,33,0,1-2 Year,Yes,40084,124,145,1
68095,Male,39,1,28,0,1-2 Year,Yes,43360,26,56,1
318855,Male,26,1,11,1,< 1 Year,No,32588,152,272,0
116895,Male,38,1,8,0,1-2 Year,No,2630,156,167,1
250281,Male,23,1,18,0,< 1 Year,Yes,32006,152,47,1
280857,Male,21,1,37,0,< 1 Year,No,45391,152,173,0
254741,Male,50,1,28,0,1-2 Year,Yes,42109,26,239,1
126466,Male,24,1,28,1,< 1 Year,No,2630,152,157,0
293262,Male,35,1,46,0,1-2 Year,No,22241,154,267,0
265234,Male,53,1,28,0,1-2 Year,Yes,31349,26,77,1
340206,Female,30,1,21,1,< 1 Year,No,25264,152,267,0
268132,Female,48,1,17,0,1-2 Year,Yes,28855,4,280,1
303227,Female,29,1,4,0,1-2 Year,Yes,2630,156,107,0
129245,Female,25,1,6,0,< 1 Year,Yes,42796,152,237,1
111129,Female,25,1,14,1,< 1 Year,No,21471,152,33,0
341724,Female,51,1,28,0,> 2 Years,Yes,48981,26,298,1
352858,Male,48,1,15,0,1-2 Year,Yes,2630,124,84,1
4265,Male,44,1,28,0,1-2 Year,Yes,50521,139,168,0
282910,Male,31,1,7,0,< 1 Year,Yes,49939,26,86,1
246699,Male,48,1,18,0,1-2 Year,Yes,31660,124,123,1
94951,Male,76,1,28,0,1-2 Year,Yes,36308,122,26,1
83526,Female,39,1,41,0,1-2 Year,Yes,36674,26,12,1
42773,Male,61,1,28,0,1-2 Year,Yes,2630,26,191,1
58910,Female,49,1,46,0,1-2 Year,Yes,20766,26,184,1
267713,Male,32,1,45,0,1-2 Year,Yes,26087,124,227,1
207772,Female,31,1,46,1,< 1 Year,No,21825,152,241,0
136081,Male,42,1,35,1,1-2 Year,No,24190,124,73,0
178882,Female,77,1,28,0,1-2 Year,Yes,33185,124,161,0
278521,Male,48,1,48,0,1-2 Year,Yes,2630,154,92,1
182470,Male,47,1,28,0,1-2 Year,Yes,52418,26,101,1
301477,Female,26,1,8,1,< 1 Year,No,57672,152,187,0
14316,Female,23,1,13,1,< 1 Year,No,28760,152,166,0
270457,Female,48,1,28,1,1-2 Year,No,29009,26,298,0
26086,Female,22,1,2,0,< 1 Year,Yes,28399,152,97,1
29864,Male,50,1,28,0,> 2 Years,Yes,70336,26,274,1
71366,Female,26,1,3,1,< 1 Year,No,25952,152,74,0
357050,Female,48,1,40,0,1-2 Year,Yes,33565,26,202,0
207937,Female,69,1,28,0,> 2 Years,Yes,36936,26,122,0
250572,Male,44,1,41,0,1-2 Year,No,21466,12,74,0
119511,Male,52,1,28,0,> 2 Years,Yes,42813,124,211,1
231493,Female,45,1,28,0,1-2 Year,Yes,39466,55,64,0
374342,Female,24,1,9,1,< 1 Year,No,2630,152,244,0
343652,Female,29,1,30,0,1-2 Year,Yes,22205,124,217,1
285673,Male,58,1,28,0,> 2 Years,Yes,31221,122,249,0
327473,Male,44,1,28,1,1-2 Year,No,2630,124,74,0
276454,Female,25,1,49,0,< 1 Year,No,31345,152,71,0
253076,Male,42,1,28,0,1-2 Year,Yes,55338,26,299,1
138576,Female,34,1,28,0,1-2 Year,Yes,41336,26,278,1
339800,Female,45,1,28,0,1-2 Year,Yes,26954,26,110,0
201415,Male,26,1,28,0,< 1 Year,Yes,2630,156,176,1
73103,Female,66,1,8,0,1-2 Year,Yes,38288,26,236,1
147901,Male,49,1,28,0,1-2 Year,Yes,51385,25,156,1
286193,Male,51,1,28,0,1-2 Year,Yes,66215,26,277,0
79510,Female,22,1,19,1,< 1 Year,No,54559,152,87,0
199991,Female,22,1,44,0,< 1 Year,Yes,2630,160,36,0
271629,Female,67,1,28,0,> 2 Years,Yes,44954,26,12,1
47532,Female,25,1,11,1,< 1 Year,No,38980,152,262,0
241516,Male,50,1,28,1,1-2 Year,No,24379,124,241,0
371849,Male,30,1,9,1,1-2 Year,No,23999,26,216,0
116397,Female,22,1,15,0,< 1 Year,Yes,37608,152,42,0
200220,Female,45,1,23,0,1-2 Year,Yes,34628,124,56,1
257370,Male,75,1,39,1,1-2 Year,No,40261,26,290,0
201081,Male,44,1,28,0,1-2 Year,Yes,51111,26,268,1
71609,Male,58,1,28,0,1-2 Year,Yes,2630,26,255,1
49594,Male,25,1,6,0,< 1 Year,No,24261,160,253,1
379156,Male,33,1,3,0,< 1 Year,Yes,20514,26,244,1
165146,Male,44,1,8,0,1-2 Year,Yes,23553,7,217,1
372277,Male,36,1,33,0,1-2 Year,Yes,42463,124,192,1
175516,Male,28,1,36,1,< 1 Year,No,32630,152,185,0
179131,Female,43,1,28,0,1-2 Year,Yes,49517,26,278,1
238816,Male,43,1,28,0,1-2 Year,Yes,39875,26,297,1
191260,Female,27,1,46,0,< 1 Year,Yes,32524,156,47,1
174935,Male,29,1,3,0,1-2 Year,Yes,2630,124,186,0
227537,Female,22,1,33,1,< 1 Year,No,23915,152,33,0
61375,Female,64,1,14,1,1-2 Year,No,40671,124,37,0
188445,Female,52,1,28,0,> 2 Years,Yes,40952,26,170,0
141669,Male,39,1,18,0,1-2 Year,Yes,24328,29,10,0
129430,Male,27,1,17,1,< 1 Year,No,31005,152,256,0
359012,Male,43,1,28,0,1-2 Year,No,38786,15,261,0
101332,Male,26,1,7,1,< 1 Year,No,41238,152,287,0
196823,Male,51,1,28,0,1-2 Year,Yes,54154,26,272,0
357951,Male,24,1,13,1,< 1 Year,No,19440,152,161,0
28609,Female,75,1,15,0,1-2 Year,Yes,46254,14,264,0
301891,Male,27,1,14,1,< 1 Year,No,24868,152,145,0
121666,Female,25,1,43,0,< 1 Year,No,2630,152,185,0
275608,Male,69,1,18,0,1-2 Year,Yes,33206,26,133,0
346367,Female,20,1,36,0,< 1 Year,Yes,41176,160,243,0
186555,Male,57,1,18,0,1-2 Year,Yes,33439,124,63,0
344006,Female,38,1,9,0,1-2 Year,Yes,33877,156,211,1
4068,Male,45,1,28,0,> 2 Years,Yes,37733,124,10,1
316873,Female,22,1,37,1,< 1 Year,No,28642,152,94,0
337313,Female,62,1,28,0,1-2 Year,Yes,31900,154,176,1
277890,Male,54,1,24,0,> 2 Years,Yes,31847,26,124,0
279895,Male,45,1,50,0,1-2 Year,No,27245,150,210,0
81322,Female,76,1,2,0,1-2 Year,Yes,39231,124,22,1
21033,Female,29,1,28,0,< 1 Year,Yes,49466,124,106,1
354284,Male,52,1,28,0,1-2 Year,Yes,24759,26,261,1
151021,Male,37,1,44,0,1-2 Year,Yes,30984,124,293,1
151891,Female,39,1,12,0,1-2 Year,Yes,2630,124,21,1
269651,Male,59,1,28,0,> 2 Years,Yes,31842,60,296,0
320919,Male,36,1,33,0,1-2 Year,Yes,2630,124,289,1
128636,Female,21,1,12,0,< 1 Year,No,21236,152,51,0
205124,Female,35,1,28,0,1-2 Year,Yes,2630,156,241,1
323097,Female,24,1,10,1,< 1 Year,No,27848,152,195,0
183389,Male,46,1,28,0,1-2 Year,Yes,25025,124,49,1
316539,Female,53,1,28,0,1-2 Year,Yes,42146,122,88,0
244412,Male,23,1,3,1,< 1 Year,No,19704,160,28,0
28581,Male,25,1,15,0,< 1 Year,Yes,34334,152,274,0
164441,Male,44,1,39,0,1-2 Year,Yes,46631,26,251,1
202521,Male,21,1,16,0,< 1 Year,No,16902,152,135,0
351583,Male,26,1,11,0,1-2 Year,Yes,46866,154,207,1
183201,Male,20,1,34,1,< 1 Year,No,2630,160,167,0
23054,Male,50,1,8,0,> 2 Years,Yes,48217,124,216,1
143822,Male,50,1,28,0,1-2 Year,Yes,37109,26,93,0
364010,Female,21,1,9,1,< 1 Year,No,2630,160,157,0
252925,Female,45,1,8,0,1-2 Year,Yes,2630,26,206,1
167142,Female,61,1,8,0,1-2 Year,No,78606,26,43,0
130601,Male,56,1,24,1,1-2 Year,No,35837,124,175,0
178226,Male,54,1,8,0,1-2 Year,Yes,42391,26,48,0
175462,Male,79,1,28,0,1-2 Year,Yes,33335,26,136,0
30534,Male,43,1,30,0,1-2 Year,Yes,26343,124,235,1
378439,Male,51,1,38,0,1-2 Year,Yes,24722,26,140,1
377471,Female,39,1,29,0,1-2 Year,Yes,35665,124,176,1
148081,Male,42,1,28,0,1-2 Year,Yes,33747,124,259,1
106099,Male,27,1,28,1,< 1 Year,No,69879,152,41,0
376231,Male,52,1,28,0,1-2 Year,Yes,2630,156,167,1
340432,Female,41,1,28,0,1-2 Year,Yes,38052,26,237,1
297154,Female,22,1,40,0,< 1 Year,Yes,41280,152,297,1
226442,Male,68,1,8,0,1-2 Year,Yes,36684,26,284,1
2098,Female,23,1,13,0,< 1 Year,No,32864,152,284,0
322260,Female,23,1,37,0,< 1 Year,Yes,32765,152,223,0
363199,Male,44,1,28,1,1-2 Year,Yes,36830,124,167,0
212628,Male,40,1,28,0,1-2 Year,Yes,51443,26,287,1
346078,Female,27,1,13,1,< 1 Year,No,25717,151,84,0
85722,Male,39,1,33,0,1-2 Year,Yes,2630,124,71,1
183864,Male,54,1,50,0,1-2 Year,Yes,29559,8,183,0
305138,Female,52,1,28,0,1-2 Year,Yes,28258,26,193,1
187866,Female,26,1,35,1,< 1 Year,No,30173,152,206,0
274296,Male,27,1,15,0,< 1 Year,Yes,2630,152,277,0
80049,Female,49,1,28,0,1-2 Year,Yes,2630,26,252,0
343655,Female,25,1,46,1,< 1 Year,No,29618,152,90,0
372129,Male,34,1,15,0,1-2 Year,Yes,24596,14,23,1
16832,Male,41,1,28,0,1-2 Year,Yes,32780,26,247,1
52019,Male,60,1,28,0,1-2 Year,Yes,67219,26,54,1
150416,Male,71,1,28,1,1-2 Year,Yes,48840,26,188,0
340819,Female,41,1,13,0,1-2 Year,Yes,2630,157,20,1
104763,Male,76,1,28,1,1-2 Year,No,24417,124,173,0
335047,Male,23,1,28,0,< 1 Year,Yes,63728,124,188,1
345526,Female,24,1,8,1,< 1 Year,No,47247,152,246,0
345539,Female,30,1,47,1,< 1 Year,No,43972,152,42,0
144443,Male,43,1,28,0,1-2 Year,Yes,51065,124,250,1
181389,Male,33,1,2,0,1-2 Year,Yes,20849,124,155,0
97301,Male,64,1,28,0,1-2 Year,Yes,90940,26,146,1
213876,Male,55,1,28,0,1-2 Year,Yes,36816,26,126,1
253912,Male,42,1,15,0,1-2 Year,Yes,30262,26,222,1
97093,Male,33,1,28,0,< 1 Year,Yes,2630,156,209,1
87635,Male,56,1,28,0,1-2 Year,Yes,30292,26,65,0
189859,Female,25,1,11,1,< 1 Year,No,18046,152,10,0
98237,Female,47,1,49,0,1-2 Year,Yes,21429,26,296,1
